Comment,Sentiment
Hum biology students hum kay s sikhe,Neutral
Thank u!,Neutral
Mam kya 9years ki child ko coding sikha sakte he,Neutral
ICSE Student's be like : Hold my cup 😂,Neutral
World best mentor ....,Positive
Which is better online course or offline course?,Positive
Software Engineer ke liya kya kya language sikh na hoga... please batao.,Neutral
No mam I am in 7th class and I know how to code simple projects made in ATL lab of government schools,Neutral
I am 2017 passout btech i dont have any experience in IT Industry currently 1st yr mtech ..can i start to learn coding ky IT INDUSTRY m job mil skti h itne bade gap k baad pls guide me,Neutral
I'm am class 8 😅,Neutral
Can arts student learn coding?,Neutral
Mujhe WordPress Me Expert Hona Hai Kya Sikhna Chahiye?,Neutral
Hi Di I study in 7th class and I want to learn coding,Neutral
Mai class 6th ka student hu mujhe hacking or coding bhaot interest hai,Neutral
"Well done,  I'm intersted to join you a student.",Neutral
"Apka video,,hme bhatkne nhi deta hai didi ,,thank you so much ❤",Positive
Dii mene BBA kr rakha hai to kya me job ke liye coding Sikh sakta hu,Neutral
Only 6 class,Neutral
Only 6 class,Neutral
Mam mujhe hacking krna hai I'd hack,Neutral
Thankyou dii❤,Neutral
Thanks,Positive
Thank you for your dear 💕,Neutral
Didi Bina laptop ke Coding kaise sikhe ?,Neutral
Mujhe drone programming krne ke liye coding sikhni hai,Neutral
unreal engine 5,Neutral
Can Student Learn Coding Like Me I am In 9th std I want To learn coding And I Want Became A nice Coding Person In My Family And Proud To My Father,Positive
Medical student codeing kr shkte hai kya ?,Neutral
When you are talking about basics why skip PHP ?,Neutral
🙏🙏,Neutral
Mem mughe apki help chahiye aap mughe guide kroge na please,Neutral
Helo mam can you help me plz,Neutral
"Python ki series lao

Aur kya mobile se coding kar sakte hai",Neutral
Teaching sector ke leye koun se language sahi rahega,Neutral
I'm really thank full to you mam for having me information it's amazing,Positive
Mam BBA wale bhi kar sakte hai coding,Neutral
"I Have A Question?? 
What Is The Best OS TO Hacking🤔🤔",Positive
I am of  5th class,Neutral
"I learn html, css and js only through my mobile 🙂",Neutral
I am class 8th,Neutral
I am from Pakistan. Much appreciated madam; such a great video.,Positive
best videos ❤❤❤❤❤,Positive
Aapka class bahut  good hai,Positive
Hello madam good morning,Positive
Ma'am mai mechanical engineer hu but future nhi dikh rha kya m coding kr skta hu,Neutral
Thanks,Positive
I am from Bangladesh class 6 (6 grader student) Thanks for explanation,Positive
मेरा Dj System ने मुझे कहा 1 से लेकर आज भी केवल लडकीयो के कहा जाने को मुझे बुलबाती रहती है fir भी कहा था बोलने के लिये xes भी कहा था बोलने के लिये मेरा नाम किंग तक का कह रखा है बोलने के लिये अंन्त भी कहा है बोलने के लिये,Neutral
Im 30 .. n housewife .. looking my brothers.. in IT wid high paying jobs .. always gives me motivation to go towards coding .. so .. no ivl definitly try my best .. with ur videos .. thnx .. make my way easy through choosing the path ..,Positive
Kisi bhi category main nehi hnu.,Positive
I am currently doing plain bba can i do coding ?,Negative
Hi Didi,Neutral
Didi me sb development aour software developer bane ke lye java sikh salta hun,Neutral
I am 9 class student au mere ko coding bahut pasand hai didi,Negative
Language Kahan sy dikhon ga,Neutral
I m in 6th,Neutral
Didi me 8th class me hu mene abhi abhi laptop kharida h,Neutral
<br> jai  shree  Ram<\br>,Neutral
Mam mn chahta hn k mn ISC krne se phle koi achi language learn kr lun to ap mere lie konsi language recommen kren gi,Negative
Games development,Neutral
Maam ptogamming languagr course. Kr. Lengr to ye sare  languagr sikh jaenge  kya pls tell me??,Neutral
Data science me python me aaegi kya😊,Neutral
Thanks for motivation,Positive
Interfaith and cimpilar ke bare me video bna dijiye,Positive
YOU ARE TEACHING NICE BUT YOU ARE DOING SO OVER REACTION,Positive
ap dede ni ho,Neutral
I am having to start coding your video is very helpful for me,Positive
Help,Neutral
I have lapy but i don't know to how to i talk to its software. I mean  not find way to talk to it. Help,Negative
"How I talk to my laptop? ,
 I don't know about it. 
Please answer",Neutral
Di mai English nhi janta hu to kya Mai coding Sikh skta hu ....,Neutral
Thank you aunty 😊 to giving your lacher,Neutral
which language should I learn for competions?,Neutral
Im arts student. i can lorn coding. Plis tell me,Neutral
"Didi , I am 13 years old , can I learn coding",Positive
Na na didi nhi samjhi  kam ki bat kro 😎,Neutral
Kya B A wale coding Sikh skte h mam,Neutral
Can i make a carrier in programming with diploma in computer science engineering,Neutral
I HV not enough knowledge about coding bcz my stream was inter arts in graduation but I want to learn coding can I achieve this skill and how plz and me,Neutral
"🎯 like 😊 who don't have laptop 💻 and computer but, even watching videos",Neutral
Mam kya bcom ke bad hum coding karne ke bad placement mil sakti hai kya,Negative
Mam in donu ma best kon si ha language,Positive
Ja didi coding ke liye sasta sundar laptop ka video banaye please,Neutral
I am very poor but I am earning and struggling I am 9th standard I not have any laptop 😢😢🥺🥺🥺😖😖😫,Negative
thanks mam now i eill start coding,Positive
I am class 8 student and want to became white hat hacker,Neutral
Apna akbar karka dakho,Neutral
study kam karwai ha pormotion zyada ki apna chanel ki,Neutral
Thanksu mam was nice and helpful vedio....,Positive
Mam class 5   mei. Parti hu,Neutral
Hello mam can you teach c programming subject and program kaise create karte hai plz explain kardo🙏🙏🙏,Negative
Just type in your friends laptop,Neutral
"""11111000""""",Neutral
Data,Neutral
How beneficial is it for commerce students to learn coding?,Neutral
With the help and emotion  of your videos,Neutral
"Hello mam me from Pakistan 
I like your all videos I like coding I start first time C programing",Positive
Kya mere ko koi bta sakta hai mere ko kuch nhi aata but mai start karna chahta hu to mai lha se start karu,Negative
"I am taking civil in btech and i am also interested in coding , will it help me further",Positive
Mam aapne jo camera ys kya he ek nmbr he,Neutral
I don't know c of codeing  but 😢 interested,Positive
I AM JUST IN 8TH CLASS BUT I LIKE THESE KIND OF VIDEOS RATHER THAN ENTERTAINMENT VIDEOS,Positive
Di You Explain better than Aman Sir 📈✅,Positive
Di plz upload video about python from starting,Neutral
Mea hu apki shardha didi broke my heart 😢,Neutral
Iam a b. Tech student but I don't have any laptop,Neutral
Sunto to didi yrr software engnier bnne k liye kiya language karna ha matlab like google software engnior,Neutral
🎉🎉,Neutral
Coding ki nhi total gyan,Neutral
html sikhna important jruri nahi hai,Positive
Didi bolo mAm ko didi suna hai,Neutral
Python ka course kab de rahi ho,Neutral
Bahut accha hai thanku mam,Neutral
Reality is this video is Serious 😂😂 but it feels more funny  because we have theese same mistakes.... nobody seems different.,Positive
mam mere c programming me error aa ja raha compiler ko download karne ke baad bhi kyu,Negative
"Hmari didi kyo hoti tu,aman ki didi hogi,mujhe apna jiju keh sakti hai tu",Neutral
"Hey di.
I want to ask you that is there any future in coding ... please fo reply me",Neutral
Me to 10 ke baad hi start karne ki soch raha hu😂😂,Neutral
Can i complete coding by taking commerce ✌️ I took commerce and now I'm seeing this video,Positive
❤❤🌹🪔🪔🎂🎂🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,Neutral
Nice,Positive
https://www.youtube.com/@LearnWithAadresh,Neutral
Will I get certificate??..after these courses?,Neutral
Mam agar CSE field me Jana h to kaun sa best h,Positive
How to use computer mam,Neutral
I am in class 6 and i am learning python,Neutral
CAN YOU TAKE A CLASS IN ENGLISH,Neutral
Mam housewife sikh sakte hy???which part best for dem?,Positive
Mena college chor diya laptop hai kya me sekh sakta ho kya 😢😢😢,Neutral
Mam BA vale bhii kr skte haii coding..,Neutral
Didi sikhana chata hai kuch advice digea na please,Neutral
mem hindi se,Neutral
"DIDI PLEASE MAKE ONE VIDEO FOR "" HOW TO CREATE PROTFOLIO "" ?",Neutral
Shradha hi thik hai. Jaruri to nahi koi rishta hi banaya jaye,Neutral
how can I contact with you,Neutral
Thanks,Positive
"Thankyou mam for such great video , Mam Can do Video on what is apptitude and reasoning",Positive
thankyou mam for motivation 😊😊,Neutral
thank you,Neutral
Nitin Raj gaming,Neutral
Thank you dear,Neutral
Mam bca student ke liya best bataaya,Positive
Iam 8year old iam best coder,Positive
Mam I m only 10 th pass student kya me it kar sakta hu muje job mil sakti he future me achi Aage badh sakta hu,Neutral
thanks excellent,Positive
https://www.youtube.com/watch?v=x2P0eC1dou4,Neutral
Mem mere ko ethical hacking sikhna h puri is pr apka koi video bna di jiye ??,Negative
1:06,Neutral
Ma'am is it not possible to learn c plus in mobile,Neutral
Step 1: Buy a own Laptop😂,Positive
Hacking ke liye seekh na hai 😂,Neutral
Guys please help me how to think in a logical way for programming,Positive
Plzzzz support me 😢😢😢😢,Neutral
"I am just 15. So, should I learn Coding",Neutral
I didn't understand hindi please you will have to say English speak I have to learn coding,Neutral
Am i here the yougest who want to learn coding at 12,Neutral
"Thank u mam u r supporting all students, who interested to learning programing languages",Positive
Mam me computer science se polytechnic kr rhe h to kya coding seekh kr achha placement mil sakta h Google or Microsoft me,Neutral
"Ma'am For Hackers?? 
😂",Neutral
Content me for java + dsa full paid course for very affordable price😊,Positive
I am getting interested 😮,Positive
Thanks you didiiiii🥰💖🇮🇳,Positive
Thank you mam for this video to get understanding and detail view about coding.your words are so motivated for every individual mam😍,Neutral
Ma'am continuously video kaise milega means,Neutral
I study in college but I don't understand,Neutral
😂😮,Neutral
Shikney me kitna shal lagta hai,Neutral
Hii shradha didi❤❤,Neutral
Can humanities students become coder yeh hacker !,Neutral
siR.,Neutral
"Mam m coma m tha 13 saal 
Ab jaga hu 27 ki age m koe degree nhi h
Kya m abb coding seekh skta hu carear bna skta h",Negative
Mujhe coding sikhna h. Mai commerce ki student thi. I'm already graduated. Ab mai Sikh sakti hu. Kya mujhe sakhne se job milega sikhne ke baad. Ek commerce student ko?,Neutral
Assalam o alaikum mam hacking ky liye konsi language seekhni chahyay,Neutral
AP bohot qute ho,Neutral
Ds ke liye full course batao n didi,Positive
"Thank you,very informative 😊",Neutral
thanks mam,Positive
I'm not from computer background,Neutral
❤❤,Neutral
Bca ke lie kon language achha rahega,Neutral
Mam ye bataiye ki hacker kaise bane 😅,Neutral
"Main start kar dala apna  course sikhna // first Java 
 sikhna hai aur bhir // c++ 
Jarurat padi to // python bhi 
Html, Java script aur others 
Programs ko bhi seekhna hai 
Mager kishi 1 raste par chalkar  pahli manjil mill Jaye to hi aage ke raste ka kata hatega 
Step by 
Step 🪜 
Sabhi cours poore karna hai 
Aur bhir  start karuga apna sapna  ❤. Fillhal to 🥶💡😮🤢🥱🤔🤔🤐😐😬😱🤗🙁😇🤓😎😎🤫🎀👑 winer me salo ki mehnat aur lagan se kam seekhna hai ❤😊😊",Positive
"I am class 5 student but still i watching your video 😂😂😂


Thanks didi❤️❤️❤️❤️ for give us the knowledge of coding😊😊😊",Positive
thanks for this video.,Positive
Thx didi😊,Neutral
"I am selected in ssc cgl , i also have much interest in programming. I want to learn coding/programming but I have no engineering background. Please tell me whether engineering background is necessary or not?",Positive
"I get admission in mit college ,dhanore and I get a branch of computer engineering so which type of coding I learn for  semister",Neutral
can u teach us c language pleaseeeeeeeeee,Neutral
Can I learn C++ as a Beginner?,Neutral
Jaya kishori of tech world 🙏,Neutral
Python,Neutral
Bio ka student language seek saktay hain kia,Neutral
Iam joined engineering so it is needed,Neutral
Txn  didi,Neutral
Sirf science Wale hi eligible hai ?,Neutral
Kya government job karnee wale bhi coading Sikh sakti hain.,Neutral
Didi maine ba ker rakhi kya mai coding Sikh sakta hu,Neutral
C++ aur C# me konsa best hai,Positive
Thanks ❤,Positive
Thnx ma'am for great pc of info shared..,Positive
I am a student of class 8,Neutral
For mine 3:25 is best,Positive
Ethical hacking ke liye kaun sa language sikhen miss?,Positive
Ethical hacking ke liye kaun sa language sikhen miss?,Positive
"DI
THANK YOU",Neutral
Maam cyber security experts ke liye kaunsi language hai,Neutral
मैम आपने कौन सी लैंग्वेज सीखी है,Neutral
I am a bbs second year student but i want to get job in IT field. Which language should i learn as a beginner? I have got laptop and internet. I request you to help me for developing my carrier in IT field.,Neutral
Mai laptop ke liye effort nahi kar sakta hu yarr,Neutral
Me job ke liye sikhna chahta hu,Neutral
THANK YOU MAM🙏🙏🙏❣️,Neutral
"Maine to kal kachra saaf karne wali gadi ki job apply kar di hi thi ki achanak 1 banda dikha sala bahot hoshiyar tha  bo apne dosto se coding aur hacking ki baat kar Raha the aur kaha ki ab ushko job bhi mill gai hai lakho rupaye wali 
Maine suna sala Mai idhar pad likh kar desh ka kachra saaf  kar raha hu aur log lakho kama rahe hai bhir kya maine bhi soch liya ab main bhi ye sikh leta hun fir again job leta hu ish war 😂😂 lakho wali hogi",Positive
Hi mi dipti mai mere bacho  ko sikhana hai muze 4th. 1st me mere bache hai unke age ke hisab se codeing class bataye ya vedio share kare pls help is,Negative
If I'm starting new to coding & 1st yr student what should I prefer to learn from basics 😊,Positive
❤,Neutral
Bio vale nhi kr skte ky ?,Neutral
How can I start programing as a beginner???,Neutral
Ma'am coding sikhana ne school students ko,Neutral
"Coding का मतलब और फायदे

Default (GPT-3.5)

User
Coding का मतलब क्या होता है codiing करने से क्या होता है codiing करने के फायदे 

ChatGPT
""Coding"" का मतलब होता है किसी प्रोग्राम या सॉफ्टवेयर के लिए इंस्ट्रक्शन्स या कोड को लिखना। Coding करने से हम विभिन्न तरीकों से कंप्यूटर या अन्य इलेक्ट्रॉनिक डिवाइस्स को इंस्ट्रक्ट कर सकते हैं ताकि वे विशेष कार्यों को सम्पादित कर सकें और विभिन्न उपयोगकर्ता के आवश्यकताओं को पूरा कर सकें।

Coding करने के फायदे:

तकनीकी नई सृजनशीलता: Coding से नए और नवीनतम तकनीकों और समस्या समाधानों के लिए सॉफ्टवेयर और ऐप्स विकसित करने में मदद मिलती है।
करियर अवसर: आजकल कई कंपनियां तकनीकी कौशल के साथ विशेषज्ञों की तलाश में होती हैं, इसलिए Coding से योग्यता होने पर आपको करियर में अधिक अवसर मिलते हैं।
समस्या समाधान: Coding से हम विभिन्न समस्याओं का समाधान करने में सक्षम होते हैं, जैसे कंप्यूटर प्रोग्रामिंग के माध्यम से उचित सॉफ्टवेयर या एप्लिकेशन विकसित करके।
रोजगार के मौके: तकनीकी क्षेत्र में सरकार और निजी कंपनियों में Coding के लिए रोजगार के मौके बढ़ रहे हैं।
रचनात्मकता: Coding करने से आपको क्रिएटिविटी का एक नया रूप दिखाई देता है, जहां आप नए और अद्भुत सॉफ्टवेयर बनाने में लगे रहते हैं।
यह सामान्य फायदे हैं, लेकिन इसके अलावा भी बहुत से अन्य लाभ हो सकते हैं जो व्यक्ति के उपयोग के साथ बढ़ते हैं।





Send a message


Free Research Preview. ChatGPT may produce inaccurate information about people, places, or facts. ChatGPT July",Positive
हम कुछ नही है भाई में भेस चराने वाले एक किसना है और coding kar rahe hai,Neutral
I am starting coding from today's lecture 😊❤,Neutral
I am beginner know nothing about computer and all. I am intrested in learning coding for my start-up. What should i buy laptop or computer. Please suggest 🙏,Neutral
thankooo diddii,Neutral
thank you maam,Neutral
Thanks 🙏🙏 😊,Positive
from school me hi hun😃,Neutral
Is it important to learn html or can I directly learn Java or python? I am a student studying in class 9 and I aim to take software engineering course in college.,Positive
how hard is computer subject,Negative
Hyy dii me mca karngu iss Saal to koi road map ke upar vedio Bana do please,Neutral
khud se hi shradhha di 🤣,Neutral
❤ yes,Neutral
Thank you didi ❤,Neutral
Also guide me how can i find any online job,Neutral
Please guide me if i want to start my career in QA,Neutral
I'm a 11th class student and I want to learn coding just for fun and skills. So which language should I learn first ?,Positive
Is Java and Java script is different ??,Neutral
"Hacking ke liye didi kya sikhe ??
Mai abhi 10th me hu starting kaise karu
Mereko cyber security team join hona hai 
Mereko tech ka knowledge hai",Neutral
Didi mai abhi 10th class mein hu ....Mujhe basic concept btaado coding ki,Neutral
"https://knowledgeswaves.blogspot.com/2023/07/learn-css.html?m=1

Here you can learn programming",Neutral
Cybersecurity ke lie konsi language sikhe mam ???,Neutral
Mam kya ek bsc cs student coding sikh ke btech and bca jesa placement pa sakte hai,Neutral
Plz provide Web designing course video,Neutral
"I HAVE Completed my Graduation from BCOM,now i have to do coding what will be my future?????",Neutral
I a completely non- tech person.. 10yrs of work ex in banking.. wanted to learn coding.. but scared when I saw long codes.. please let me know how to start,Positive
Can b com student learnt coding if he know nothing about it,Neutral
subtitles please,Neutral
"I'm so afraid to start
Uncertain, confused, overwhelmed",Negative
Didi I am in 6th class and i want to learn the coding and i will watch your videos only for learning because the way of your teaching is best thanks,Positive
"If you were to provide audio in English as well as in Hindi, more people would understand it and watch your videos. I can't watch it because I don't understand you.",Positive
Can i learn coding as arts student????,Neutral
Motivation gets you started discipline keeps you going,Neutral
Mca k liye kon si language sikhe,Neutral
Mam can you please do a full course video on data structures and algorithm's,Positive
व्हाईट कॉलर हॅकर  ke liye konsi language hai,Neutral
I'm class 6th student coding me mind blast,Neutral
"Is it worth it if I learn Java now cuz I want to be a Software Engineering, Right now I am studying in 11th PCM + English (My School do not have CS), So I wanna study CS from home",Positive
Mam give mi your number please mam tumse bat karni hai mam,Neutral
B C A Ke Andar . . . . Statistics Aur Mathematics Kaise Sikhe .,Neutral
Very informative,Positive
First year wale 👍👍😁😁,Positive
Ty vahini 😂😂😂,Neutral
didi bsc wale language kon c sikhe for placement pls btaiye didi bhut confusion h,Neutral
Mera age 31 or Mera stream arts . Mai coding shikh payunga kay,Neutral
I'm factory worker and i want to learn coding,Neutral
Thank you dii 😊,Neutral
Didi kaha aur kaise sikna iske liye bhi video banado plzz didi,Neutral
(Decode) kaise kar sakta ha,Neutral
Kya main mobile main code kar sakti hu??,Positive
Can I start coding by my mobile ??,Neutral
Hye... Is learning coding for a non engineering background student is worth it??,Positive
Email kaise karate job ke liye video bano,Neutral
Mam  hindi midium  mai  bhi  coding   sikh  sakte  hai,Neutral
Madam best coding Hindi book ke bare me batye,Positive
Mam commerce background student coding sikh sakte h kya,Neutral
If i learn the basic of c++ and c sharp (c#) so its means it will help me in learning coding. Is coding will be the part of c++ or c# language..?? plz someone who know reply 🙏,Negative
Guys how is hp pavillion laptops?,Neutral
"Need a help mam.
I am in 11th, but i want to give 1-2 hours of my day to coding, after school study, should i do it or not?
Please mam guide me🙏",Neutral
Didi c language kiske liye useful ho skti h ?,Positive
mam which language is essay to learn,Neutral
"Which is good path for free launcing.?
Is data science a free launcing field.?",Positive
B tech data science me coding hoti h kya??,Neutral
My goal c#(c sharp) and c++,Negative
Wht abt.  .net language,Neutral
Hacking ke liye konsi language sikhe,Neutral
Dii mene bsc maths karr rha hun technical field me career bbane ke lie kya kree plz vid bnaie,Neutral
Very helpful video ❤❤❤,Positive
Can I able to learn coding because I am 14 Year old.,Positive
Didi ek accha coding video k liye laptop banao yaar bohhhuuuttttt saaraaaaa.,Neutral
Thank you so much didi to explain clearly.... ❤️🙏🏻,Positive
I m medical students bt seeing this lecture to build up my knowledge,Neutral
Mam i want to become a software engineer which language i should learn and programming or coding is compelsory to become a software engineer.,Neutral
Arts student can learn this,Neutral
Best motivation teacher for coding,Positive
https://youtu.be/4cCcHFR4DwE    Basic Coding,Neutral
Mam please tell me im a arts student and i want to learn coading tell me mam its usefull for me in future good jobs high paying job,Positive
Tere maa ka sala yek tu kucch nahi samjha acche see samja haramk,Neutral
It is only a waste of of time,Negative
Not interested,Negative
How to learn ethical hacking which language have to learn,Positive
Name palace Indira hua tha aur Dara rahi ho,Neutral
Very thankful to apna college,Positive
Thanks didi,Positive
Bsc computer science student get go to this field 🙂,Neutral
Mam coding sa related kuch dought ha,Neutral
Thanks didi,Positive
"I kindly requested,can you please post videos in english i am from tamil nadu  but i like your speech",Positive
motivation gets u started but discipline and patience makes u keep going,Neutral
"Didi hai video sari compelety free hia
na",Positive
Please meme replay me mail,Neutral
What to start java tutorials or java lectures first of your chennal,Positive
C is used for what??,Neutral
Hacking ke liye best lung,Positive
nics my c++ l,Neutral
So sweet behavior and teaching manner👍♥️,Positive
Laptop,Neutral
Laptop,Neutral
mam coding se kay hota hai,Neutral
Dar lagta hai coding se 😐😐,Neutral
Mam muze coding nahi aati aapki video dekhar sikta hea,Neutral
"Ai can replace software engineer
This is possible
Make a video in this topic",Neutral
Very useful information video,Positive
Editing is perfect 👌,Positive
Coding start kahan se karein,Neutral
Sabse sasta vala leptop batao didi iske liye please reply,Neutral
But mam luna coding sekho,Neutral
Python............MAM,Neutral
Big fan from Pakistan,Neutral
😂😂😂😂😂,Neutral
"I know coding
Let me show you
Print(""thank you"")",Neutral
I want to learn animation too what to do 😅,Neutral
Ma'am kya hm python mobile par Sikh sakte hai?,Neutral
Mm main ba field se hoon to kya main bhi coding seekh skta hoon ☺️,Positive
Hi didi,Neutral
Is there python step by step lectures in Ur channel ?,Neutral
English pls,Neutral
Bro my goal is ethical hack  to reach my goal with learning bro,Positive
Agar hum na gaye ho to kiya hum coding sikh sakte he,Neutral
Thanks didi🎉😮,Positive
"FOR FUN 
YOU SAID TO LEARN PYTHON AND JAVASCRIPT SO WHY YOU ARE TOLD TO LEARN JAVA 
I AM CONFUSE",Positive
I have a fear that i am weak at math but want to work in it field can i do it ❓,Negative
Kya bsc it wale vi coding sik sakte hai  ???,Neutral
Coding online sikh skte hai kya placement k liye,Neutral
Mam agar Science background se nahi hai toh kya hum nahi seekh skte?,Neutral
Thank you. Here is a similar video from YouTube at https://www.youtube.com/watch?v=1msaYAElhW8,Neutral
Can i do coding just after 12th ?? It’ll be useful ??!,Positive
I am teaching mathematics for 15 years . Now i want learn coding . Suggest me the way,Neutral
Data scientist ke liye kaun sa language.,Neutral
Mam arts ke bache English Hons ke coding Sikh skte h ???,Neutral
Motivation get you start but disciplines keeps you going best line of the video,Positive
Ma'am kya hum mobile se coding kar sakte h agar kar sakte h to video chahiye,Neutral
Thank you. Here is a similar video from YouTube at https://www.youtube.com/watch?v=1msaYAElhW8,Neutral
C ke baad kaun si pdhu...?,Neutral
Ye sb krne se pehle English perfect honi chahiye na😢,Positive
English jaruri ha,Neutral
I clear to 12 class gor sciences stream now join to coding course and  kiya m isme apna future create kar sakta hu,Positive
music na lagya karo bhai samj nai ati,Neutral
didi agar backlog lage tu job pe khatra tu nahi aayrga na😭😭😭,Neutral
Mam coding ke liye BCA BBA ye sb hona jraru h kya,Neutral
gameingchannel,Neutral
Gameing,Neutral
"Please reply 
   Can AI replace coders",Neutral
Can i do coding in chromebook?,Neutral
Ma'am jo agrh Railway job kar raha hai wo Sikh sakta hai?,Neutral
Aree papa coding ke waaste 70 hazar ka laptop zaruri haunda 🥸,Neutral
Mam english not understanding,Neutral
Actually I am new to coding and this tech world and I am very excited and interested to learn this things... I have already gather some information about free platform which teaches languages from your channel. But I have a doubt after Learning language from this platform how can we show companies about our qualification in particular language??like we don't get Certificate from these free batches and platforms so if we just add our qualification in resume we should have any Certificate about that course... So can anyone tell me like if we just write things  in resume and tell people that we learn from free platform.... Will they believe us?? I mean does things in interview and resume work like this?? Plz if you know then tell me it will help me to clear my biggest doubt...,Positive
My interest in coding is for electronics.,Neutral
Thank you apna college and shradha  didi your guidance help lot😭🥺,Neutral
Hacking per video banio,Neutral
Gaming devloped..ke liye c++ ka video ni mil raha,Neutral
"HTML,CSS and JavaScript is really good for people with no prior or little idea about coding you can be decent at these language under 9 months, atleast for me. Don’t start with Python , C#, C or C++ as a beginner though.",Positive
Java language kaise shikhe koi to batayo please,Neutral
"what about a person jo finance ke background se hai and aise hi learn karna chahete hai for a skill, is it ideal to do that? please do tell",Positive
Can you please talk in English language,Neutral
Your are not my didi,Neutral
"Didi, mechanical engineering karte karte coding sikhke tech company main jaa sakte hai kya",Positive
"I don't have a computer science degree or any other programming course, so should I choose programming as a career or not?",Negative
Me pahle sql sikha fir html uske bad c and c+++ sikha,Negative
Mam I m a student of pre medical and I want to skip medical and join information technology ....how can I start it as a beginner,Neutral
Mam web development  ke liye kon si language sikhni chahiye,Neutral
"I am from management stream , but i want to sit for tech placements (data analyst) . 
Can you help me know where to start from.",Neutral
"Ijaz bhai khuda k liay ye spetula badal lo uska rung he badal gia its so harmful ye plastic ka hota hai ap wooden spoon use kia kray
.itna masha Allah earn krtay ho kharch bhi kia kray....ap ko hum buhat arsay sai follow kr rahay hai apki recipies zabardast hoti hai first tme comment kia hai",Positive
Fan for a school 🏫🏫🏫🏫,Neutral
"I am from arts background, can I learn from the scratch?",Neutral
I don't know to use computer high level and iam a 9 bio student but interest in programming what should I do,Positive
I am joining btech in the ECE branch. which computer language should i learn at the beginning of my collegelife,Neutral
Thnx for this video,Neutral
"Mam i want to make a project on Internet Based Decision Forum in php and mysql , i doesnot have any idea kindly guide me",Positive
"Hacking kon sa programing languages sikna ha,? Please help me",Neutral
Hacking learning what's language learn.?,Neutral
Thanks mam,Positive
Python is father off all languages,Neutral
Per mai to 12th me hu 😅,Neutral
5th ke students ke lia btao,Neutral
C++ sikhne k liye Pehle C language sikhni padti hai kya ??,Neutral
"Hi mam  i am 15 and want to learn to make apps 
Can i learn coding at this age",Neutral
Mam can u tell me please what is the placement,Neutral
Thanks 👍,Positive
Kiya mobile me programing languages sikh sakte h didi ji,Neutral
"Hi 
Ky Mobile se coding kr skte h ???",Neutral
"i am 16 years old,can i do coding ?",Neutral
https://youtu.be/6JWlAj_QQoo,Neutral
Kya bsc math Wale Sikh skte hai kuch kam ayega,Neutral
Meri java hai bhot vast language hai,Neutral
I will learn Java and Python ...,Neutral
Plz guide.. Mne jamia se web designing short term course join kia h  without coding to usme 1st semester 6 month k h.. Usme mention nh Kia h unhone k kia kia sekhyge ap plz guide kren na plz.. K kitna semester hta h isme? Or kse complete krni hti h,Positive
Didi humanities wale bbhiii cooding seekhh sakte haii????,Neutral
Ham hacking sikhana,Neutral
Didi I'm 7yrs old name Aayushman . I start attended coding class but feeling difficult. Please help me.,Negative
Mera b com.H complete hua hai Kya me Kar sakta hun ye,Positive
Phone sai coding krskhtai hia ka,Neutral
Basics kaha se sikhe,Neutral
Where to learn swift??,Neutral
Accha placement pane ke liye konsi language jaruri hai mam,Neutral
Thank you,Neutral
3:35,Neutral
Iam from bangladesh...and I have a computer but I don't know what to do here Can someone tell me which one to do .. will be easy and good and I study in college...plz.plz.plz 😢😊,Positive
Hi I am school teacher and I want to shift??????,Neutral
we need lissens for it,Neutral
https://youtu.be/TmembGJSSwY,Neutral
I am read in class 9 and mere andar bhoot aa gya hai coding ka or mere pass laptop bhi nahi hai didi😢,Negative
WORK ETHIC DETERMINED CREATION INVENTION PERSISTENT COMMITMENT YEAH CREATE OWN COMPANY,Positive
Bahut hi acha,Neutral
Mam mein arts students aur aage study ni karni mhuje but interst hain stack developer mein mhuje kaise start up karna chaiye,Neutral
cyber security ke liye kya kare ?,Neutral
Shada didi is ki Awaaz hi nahi a rahi hai,Neutral
Mam can you add English subtitles I don't know Hindi am from Kerala,Neutral
"Mam channel ka name bhato muja java ,c++ python online course chiya please mam",Neutral
Which is best java or c++,Positive
Exam m questions k according program jyada aate hai theory part?,Neutral
"Execellent way of Prestation , Must continue especially AI, and Web development . Respected Teacher",Neutral
Thank you disi,Neutral
I want a job oriented course,Neutral
I am 6 class student in my Intrast in coding thnky verymach,Neutral
Didi without laptop kya coding sikkh paege,Neutral
ap baccho k liye b coding ki classes lekr ayen,Neutral
Mam me abhi mis executive profile par job kar raha hu to kon si seekhu mam please,Neutral
Didi muze doughnut hai ke starting me konsi language sekhe? 🤔,Neutral
Ma’am I am a commerce graduate and planning take a software development course. So can I please help me from where to start and what to do learns and make my basics strong. Thank you.,Positive
Mam please give the information about flutter programming language,Neutral
Mam please eske bare me detail me video banaye,Positive
Kon kon coding kar Raha hai students,Neutral
Didi is there any certificate courses which i can do in my 11th class.,Neutral
I am class 8 th student thanks for teaching didi,Positive
Didi after 12th boards konse field m coding kar skte h or earnings ke liye bhi plz clear my path,Positive
bhal,Neutral
is c language is good to learn,Positive
madam aap kabhi kabhi bich may hastay hona to bohot achi lagte ho,Neutral
I just want to say thank you sooooo much for this video🥲🥲,Positive
